Customer  ,Name                               ,City                               ,Customer GST No   ,Transporter Nam,LR No                              ,LR Date,PO                  ,Internal Ref No     ,Invoice No      ,Inv Date,Carton No ,Brand   ,Product  ,Retek Class                   ,HSN Code        ,Material                                ,Grid              ,Size              ,Sleeve            ,EAN No            ,Quantity         ,MRP               ,WSP               ,CD%               ,CD Value          ,Discount %        ,Disc Value        ,Service Charge    ,CGST %            ,CGST Value        ,IGST %            ,IGST Value        ,SGST %            ,SGST Value        ,UGST %            ,UGST Value        ,Tax Amount        ,Invoice Amount       ,Unit MRP          ,Net Unit Cost        ,Plant,Material Description                    ,Fabric Base Type              ,Fabric Design Type            ,Product Type                  ,Color                         ,Category                      ,Fit Type                      ,Company Name                            ,Company GST No    ,Company Location    ,Unit Cost
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTPT05449                          ,                  ,92,                  ,8909356502195,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,COPY OF PJDNG0179 GRIFFIN LOGO EMBR  092,70 Cotton28 Polyester2 Spandex,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTPT05449                          ,                  ,82,                  ,8909356502171,2,2399,3063,                  ,                  ,                  ,                  ,67,3,78,                  ,                  ,3,78,                  ,                  ,157,3287,2399,1643,C014 ,COPY OF PJDNG0179 GRIFFIN LOGO EMBR  082,70 Cotton28 Polyester2 Spandex,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTPT05449                          ,                  ,76,                  ,8909356502164,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,COPY OF PJDNG0179 GRIFFIN LOGO EMBR  076,70 Cotton28 Polyester2 Spandex,Solid                         ,A4                            ,BLACK                         ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNCOTPE55315                          ,                  ,82,                  ,8909356245412,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,COPY OF PJDNG0179 GRIFFIN LOGO EMBR  082,52 Cotton46 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ RG OCTANEMIDSTR            ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013772162                   ,20260525,9230919019 - 091423 ,9010277835,MSF2262000004170,20260525,54736811,RE      ,FGTSHIRT ,T Shirt                       ,61051020,PEKPMRGFB54392                          ,                  ,S                 ,H                 ,8909356048693,1,1399,893,                  ,                  ,                  ,                  ,20,3,23,                  ,                  ,3,23,                  ,                  ,46,958,1399,958,C014 ,SS25 POLO TRADE 1010  HALF SLEEVE  SMALL,55 Cotton45 Polyester         ,Textured1                     ,A4                            ,Maroon                        ,NA                            ,PC RG Regular                 ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,893
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013772827                   ,20260526,9230919885 - 065041 ,9010284368,MSF2262000004229,20260526,54800909,N       ,FGSHIRT  ,Shirt                         ,62052090,PCSFLSLPG04422                          ,                  ,42,F                 ,8909356627119,1,2299,1468,                  ,                  ,                  ,                  ,32,3,38,                  ,                  ,3,38,                  ,                  ,75,1575,2299,1575,C014 ,COPY OF PCSFG0118SL WITH 3CM PLA  F  042,62 Cotton38 Linen             ,Solid                         ,A4                            ,white                         ,NA                            ,PC SL Slim                    ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1468
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093319 ,9010290807,MSF2262000004296,20260527,54868425,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNANSTFE78590                         ,                  ,82,                  ,8909356246877,2,1999,2552,                  ,                  ,                  ,                  ,56,3,65,                  ,                  ,3,65,                  ,                  ,130,2739,1999,1369,C014 ,SS 24 JJ 013 BASIC  082                 ,70 Cotton28 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ SL NEOSLIMTAPEREDMIDSTR    ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1276
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034290,PJDNASTFO99601                          ,                  ,76,                  ,8905772548229,1,1799,1148,                  ,                  ,                  ,                  ,25,3,29,                  ,                  ,3,29,                  ,                  ,59,1232,1799,1232,C014 ,SS20JJ003  076                          ,70 Cotton28 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ SL NEOSLIMTAPEREDMIDSTR    ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1148
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034300,PJDNCBTF570471                          ,                  ,96,                  ,8909021667471,1,2399,1531,                  ,                  ,                  ,                  ,34,3,39,                  ,                  ,3,39,                  ,                  ,78,1643,2399,1643,C014 ,SS 24 JJ 013 BASIC  096                 ,96 Cotton3 Polyester1 Spandex ,Solid                         ,A4                            ,Light Blue                    ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1531
321828,KDPS LIFESTYLE PRIVATE LIMITED     ,Deogarh                            ,20AAGCK9945D1ZM   ,1308509,MFL0000013773377                   ,20260527,9230920970 - 093350 ,9010290807,MSF2262000004296,20260527,54868427,PJ      ,FGJEANS  ,Jeans                         ,62034300,PJDNCBTP967991                          ,                  ,76,                  ,8909356451844,1,2625,1676,                  ,                  ,                  ,                  ,37,3,43,                  ,                  ,3,43,                  ,                  ,86,1798,2625,1798,C014 ,COPY OF PJDNG0180 GRIFFIN LOGO EMBR  076,50 Cotton48 Polyester2 Elastan,Solid                         ,A4                            ,Navy                          ,NA                            ,PJ RG BOOTCUTMIDSTR           ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED   ,20ABACA5076G1Z4   ,Karnataka           ,1676
